std,lower_quartile,dwelling,district,end_date,area,region,bedrooms,upper_quartile,start_date,bonds_received,average_rent,median_rent,date_type
65.47,245,Apartment,Gisborne,2011-02-28,Gisborne,Gisborne,2,352,2010-09-01,9,308,330,range
23.17,170,Apartment,Gisborne,2011-02-28,Gisborne,Gisborne,1,200,2010-09-01,6,186,192,range
56.73,165,Flat,Gisborne,2011-02-28,Gisborne,Gisborne,3,257,2010-09-01,9,220,235,range
29.12,175,Flat,Gisborne,2011-02-28,Gisborne,Gisborne,2,215,2010-09-01,81,195,190,range
20.31,150,Flat,Gisborne,2011-02-28,Gisborne,Gisborne,1,165,2010-09-01,38,152,155,range
49.81,250,House,Gisborne,2011-02-28,Gisborne,Gisborne,4,327,2010-09-01,52,290,280,range
40.37,240,House,Gisborne,2011-02-28,Gisborne,Gisborne,3,280,2010-09-01,214,263,260,range
30.78,210,House,Gisborne,2011-02-28,Gisborne,Gisborne,2,245,2010-09-01,62,228,230,range
63.01,178,Room,Gisborne,2011-02-28,Gisborne,Gisborne,1,245,2010-09-01,5,207,230,range
64.75,165,Apartment,Wanganui,2011-02-28,Entire District,Manawatu,2,242,2010-09-01,12,211,205,range
47.65,121,Apartment,Wanganui,2011-02-28,Entire District,Manawatu,1,146,2010-09-01,7,145,130,range
53.06,145,Flat,Wanganui,2011-02-28,Entire District,Manawatu,3,250,2010-09-01,14,195,210,range
37.27,140,Flat,Wanganui,2011-02-28,Entire District,Manawatu,2,170,2010-09-01,89,156,155,range
24.04,100,Flat,Wanganui,2011-02-28,Entire District,Manawatu,1,130,2010-09-01,54,119,120,range
43.58,250,House,Wanganui,2011-02-28,Entire District,Manawatu,5+,323,2010-09-01,15,293,290,range
55.36,220,House,Wanganui,2011-02-28,Entire District,Manawatu,4,286,2010-09-01,61,250,250,range
52.46,180,House,Wanganui,2011-02-28,Entire District,Manawatu,3,241,2010-09-01,381,212,205,range
